node_name1,node_name1_suffix,node_name2,node_name2_suffix,relationship,connectivity_type,relationship_type,status,capacity,utilisation
optical.pk,pk,optical.tlg,tlg,optical-pk-tlg,optical,Optical,active,100,10
optical.pkc,pkc,optical.kok,kok,optical-pkc-kok,optical,Optical,active,100,10
optical.pm,pm,optical.kok,kok,optical-pm-kok,optical,Optical,active,100,10
optical.pm,pm,optical.ko,ko,optical-pm-ko,optical,Optical,active,100,10
optical.pm,pm,optical.tu,tu,optical-pm-tu,optical,Optical,active,100,10
optical.pm,pm,optical.tam,tam,optical-pm-tam,optical,Optical,active,100,10
optical.pm,pm,optical.gmu,gmu,optical-pm-gmu,optical,Optical,active,10,20
optical.tam,tam,optical.pm,pm,optical-tam-pm,optical,Optical,active,100,10
optical.tam,tam,optical.jh,jh,optical-tam-jh,optical,Optical,active,100,10
optical.tam,tam,optical.gmu,gmu,optical-tam-gmu,optical,Optical,active,100,10
optical.tg,tg,optical.ko,ko,optical-tg-ko,optical,Optical,active,100,10
optical.tg,tg,optical.jh,jh,optical-tg-jh,optical,Optical,active,100,10
optical.tl,tl,optical.bms,bms,optical-tl-bms,optical,Optical,active,100,10
optical.tl,tl,optical.ki,ki,optical-tl-ki,optical,Optical,active,100,10
optical.tlg,tlg,optical.pk,pk,optical-tlg-pk,optical,Optical,active,100,10
optical.tlr,tlr,optical.pe,pe,optical-tlr-pe,optical,Optical,active,100,10
optical.trm,trm,optical.pe,pe,optical-trm-pe,optical,Optical,active,100,10
optical.tu,tu,optical.pm,pm,optical-tu-pm,optical,Optical,active,100,10
